Category ID,Quantity,Region,Supplier ID,Buyer ID,Transport Type,Dispatch Mode,Days
52,2500,West,818,12341,Seller Transport,Seller to Buyer,a
52,1000,South,14663,11462,Seller Transport,Seller to Buyer,a
10,3000,North,10412,6723,Bizongo Transport,Seller to Buyer,a
10,50000,North,10412,6723,Bizongo Transport,Seller to Buyer,a
10,1500,North,10412,6723,Seller Transport,Seller to Buyer,a
10,6000,North,10412,6723,Bizongo Transport,Seller to Buyer,a
52,1600,South,14534,3446,Seller Transport,Seller to Buyer,a
52,4025,South,14534,3446,Seller Transport,Seller to Buyer,a
52,17000,South,14534,3446,Seller Transport,Seller to Buyer,a
52,8650,West,818,4304,Seller Transport,Seller to Warehouse,a
10,1500,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,33800,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,125000,North,10412,11801,Seller Transport,Seller to Warehouse,a
52,2300,West,818,4304,Seller Transport,Seller to Warehouse,a
52,3500,South,14534,13875,Seller Transport,Seller to Buyer,a
52,5000,South,14534,13875,Seller Transport,Seller to Buyer,a
87,10000,West,15100,11919,Bizongo Transport,Seller to Buyer,a
87,11850,North,11401,13963,Seller Transport,Seller to Warehouse,a
87,800,North,11401,13963,Seller Transport,Seller to Warehouse,a
52,1675,North,12797,3446,Seller Transport,Seller to Warehouse,a
52,7500,North,12797,3446,Seller Transport,Seller to Warehouse,a
52,300,South,13226,6723,Seller Transport,Seller to Buyer,a
118,2200,West,1479,10081,Bizongo Transport,Seller to Buyer,a
95,2200,West,1479,10081,Bizongo Transport,Seller to Buyer,a
90,200000,North,10412,12892,Seller Transport,Seller to Warehouse,a
52,14900,North,11701,15201,Seller Transport,Seller to Buyer,a
48,6900,North,11701,4304,Seller Transport,Seller to Warehouse,a
52,6975,West,15048,8131,Bizongo Transport,Seller to Warehouse,a
52,3000,West,5238,6723,Bizongo Transport,Seller to Warehouse,a
52,5235,West,5238,6723,Bizongo Transport,Seller to Warehouse,a
90,20000,North,10412,13164,Seller Transport,Seller to Buyer,a
90,30000,North,10412,13164,Seller Transport,Seller to Buyer,a
52,700,North,7522,12923,Seller Transport,Seller to Buyer,a
52,2000,North,7522,12923,Seller Transport,Seller to Buyer,a
52,10000,North,7522,12923,Seller Transport,Seller to Buyer,a
10,500,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,600,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,3300,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,4000,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,4900,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,5000,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,15200,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,28800,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,28900,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,35700,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,39700,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,44400,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,47400,North,10412,11801,Seller Transport,Seller to Warehouse,a
10,49800,North,10412,11801,Seller Transport,Seller to Warehouse,a
52,10000,West,818,4304,Seller Transport,Seller to Warehouse,a
52,2680,South,14661,11462,Seller Transport,Seller to Buyer,a
52,2500,South,14661,11462,Seller Transport,Seller to Buyer,a
52,3200,South,14661,11462,Seller Transport,Seller to Buyer,a
52,27600,North,11701,4304,Seller Transport,Seller to Buyer,a
52,8000,South,11744,6723,Seller Transport,Seller to Buyer,a
10,43000,North,10412,6723,Seller Transport,Seller to Warehouse,a
52,560,South,14661,11462,Seller Transport,Seller to Buyer,a
52,8000,South,14534,6723,Seller Transport,Seller to Buyer,a
48,3950,South,13732,13250,Bizongo Transport,Seller to Buyer,a
48,4100,South,13732,13250,Seller Transport,Seller to Buyer,a
52,15000,South,14534,6723,Bizongo Transport,Seller to Buyer,a
52,5000,South,15887,15710,Seller Transport,Seller to Buyer,a
52,5000,South,15887,15710,Seller Transport,Seller to Buyer,a
52,7680,West,5238,6723,Seller Transport,Seller to Warehouse,a
184,7000,North,1007,4304,Seller Transport,Seller to Buyer,a
52,1500,South,11744,6723,Seller Transport,Seller to Buyer,a
10,1700,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,2300,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,6500,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,8500,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,10700,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,11000,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,14000,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,28800,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,30000,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,32500,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,32724,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
10,47500,North,10412,11801,Bizongo Transport,Seller to Warehouse,a
52,8000,South,11744,6723,Seller Transport,Seller to Buyer,a
52,1364,North,14977,11462,Seller Transport,Seller to Buyer,a
52,4240,North,14977,11462,Seller Transport,Seller to Buyer,a
184,2000,West,14647,16344,Bizongo Transport,Seller to Buyer,a
97,50,West,1479,10081,Bizongo Transport,Seller to Buyer,a
